"Geslacht";"Leeftijd";"Gestandaardiseerd inkomen";"Zorgvorm Zvw-zorgkosten";"Perioden";"Gemiddelde zorgkosten volgens de Zvw (euro)";"Personen met Zvw-zorgkosten, relatief (%)"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"2e 10%-inkomensgroep";"Ziekenhuiszorg";"2012";"    1343";"       ."
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"2e 10%-inkomensgroep";"Ziekenhuiszorg";"2013";"    1408";"       ."
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"2e 10%-inkomensgroep";"Ziekenhuiszorg";"2014";"    1414";"       ."
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"2e 10%-inkomensgroep";"Ziekenhuiszorg";"2015";"    1352";"       ."
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"2e 10%-inkomensgroep";"Ziekenhuiszorg";"2016";"    1517";"       ."
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"2e 10%-inkomensgroep";"Ziekenhuiszorg";"2017";"    1550";"    61.2"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"2e 10%-inkomensgroep";"Ziekenhuiszorg";"2018";"    1581";"    61.6"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"2e 10%-inkomensgroep";"Ziekenhuiszorg";"2019";"    1647";"    61.6"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"2e 10%-inkomensgroep";"Ziekenhuiszorg";"2020";"    1531";"    56.6"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"2e 10%-inkomensgroep";"Ziekenhuiszorg";"2021";"    1711";"    58.7"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"2e 10%-inkomensgroep";"Ziekenhuiszorg";"2022";"    1753";"    59.8"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"2e 10%-inkomensgroep";"Ziekenhuiszorg";"2023*";"    1907";"    60.9"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"2e 10%-inkomensgroep";"Farmacie";"2009";"     382";"       ."
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"2e 10%-inkomensgroep";"Farmacie";"2010";"     398";"       ."
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"2e 10%-inkomensgroep";"Farmacie";"2011";"     399";"       ."
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"2e 10%-inkomensgroep";"Farmacie";"2012";"     362";"       ."
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"2e 10%-inkomensgroep";"Farmacie";"2013";"     345";"       ."
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"2e 10%-inkomensgroep";"Farmacie";"2014";"     344";"       ."
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"2e 10%-inkomensgroep";"Farmacie";"2015";"     366";"       ."
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"2e 10%-inkomensgroep";"Farmacie";"2016";"     388";"       ."
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"2e 10%-inkomensgroep";"Farmacie";"2017";"     382";"    70.7"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"2e 10%-inkomensgroep";"Farmacie";"2018";"     379";"    70.8"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"2e 10%-inkomensgroep";"Farmacie";"2019";"     388";"    70.3"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"2e 10%-inkomensgroep";"Farmacie";"2020";"     392";"    67.5"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"2e 10%-inkomensgroep";"Farmacie";"2021";"     386";"    68.0"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"2e 10%-inkomensgroep";"Farmacie";"2022";"     408";"    68.7"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"2e 10%-inkomensgroep";"Farmacie";"2023*";"     421";"    68.9"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"2e 10%-inkomensgroep";"Geestelijke gezondheidszorg-ZPM";"2009";"";""
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"2e 10%-inkomensgroep";"Geestelijke gezondheidszorg-ZPM";"2010";"";""
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"2e 10%-inkomensgroep";"Geestelijke gezondheidszorg-ZPM";"2011";"";""
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"2e 10%-inkomensgroep";"Geestelijke gezondheidszorg-ZPM";"2012";"";""
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"2e 10%-inkomensgroep";"Geestelijke gezondheidszorg-ZPM";"2013";"";""
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"2e 10%-inkomensgroep";"Geestelijke gezondheidszorg-ZPM";"2014";"";""
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"2e 10%-inkomensgroep";"Geestelijke gezondheidszorg-ZPM";"2015";"";""
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"2e 10%-inkomensgroep";"Geestelijke gezondheidszorg-ZPM";"2016";"";""
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"2e 10%-inkomensgroep";"Geestelijke gezondheidszorg-ZPM";"2017";"";""
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"2e 10%-inkomensgroep";"Geestelijke gezondheidszorg-ZPM";"2018";"";""
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"2e 10%-inkomensgroep";"Geestelijke gezondheidszorg-ZPM";"2019";"";""
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"2e 10%-inkomensgroep";"Geestelijke gezondheidszorg-ZPM";"2020";"";""
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"2e 10%-inkomensgroep";"Geestelijke gezondheidszorg-ZPM";"2021";"";""
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"2e 10%-inkomensgroep";"Geestelijke gezondheidszorg-ZPM";"2022";"     521";"     7.8"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"2e 10%-inkomensgroep";"Geestelijke gezondheidszorg-ZPM";"2023*";"     621";"     8.6"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"3e 10%-inkomensgroep";"Ziekenhuiszorg";"2009";"    1174";"       ."
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"3e 10%-inkomensgroep";"Ziekenhuiszorg";"2010";"    1220";"       ."
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"3e 10%-inkomensgroep";"Ziekenhuiszorg";"2011";"    1245";"       ."
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"3e 10%-inkomensgroep";"Ziekenhuiszorg";"2012";"    1282";"       ."
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"3e 10%-inkomensgroep";"Ziekenhuiszorg";"2013";"    1347";"       ."
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"3e 10%-inkomensgroep";"Ziekenhuiszorg";"2014";"    1370";"       ."
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"3e 10%-inkomensgroep";"Ziekenhuiszorg";"2015";"    1338";"       ."
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"3e 10%-inkomensgroep";"Ziekenhuiszorg";"2016";"    1408";"       ."
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"3e 10%-inkomensgroep";"Ziekenhuiszorg";"2017";"    1437";"    59.4"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"3e 10%-inkomensgroep";"Ziekenhuiszorg";"2018";"    1461";"    59.7"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"3e 10%-inkomensgroep";"Ziekenhuiszorg";"2019";"    1501";"    59.7"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"3e 10%-inkomensgroep";"Ziekenhuiszorg";"2020";"    1411";"    55.1"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"3e 10%-inkomensgroep";"Ziekenhuiszorg";"2021";"    1569";"    57.3"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"3e 10%-inkomensgroep";"Ziekenhuiszorg";"2022";"    1616";"    58.5"
